BusinessName,LicenseNumber,LicenseType,Address,City,State,Zip,Phone,LicenseEffective,LicenseExpires,BusinessType,Specialty1,Specialty2,Principal,UBI
1ST AIR MECHANICAL INC,1STAIAM851OP,ELECTRICAL CONTRACTOR,PO BOX 1539,MEAD,WA,99021,5092182124,09/17/2015,09/17/2027,Corporation,HVAC/RFRG,,"DAVIS, TIM",602493370
3 Cities Refrigeration LLC,3CITICR814JA,ELECTRICAL CONTRACTOR,2839 W Kennewick Ave,KENNEWICK,WA,99336,5095815008,04/02/2019,04/02/2027,Limited Liability Company,HVAC/RFRG,,"SPORCICH, ANDREW D",604407693
3WIRE LLC DBA 3WIRE SRVC LLC,3WIRELD751LT,ELECTRICAL CONTRACTOR,4314 RUSSELL RD,MUKILTEO,WA,98275,2065248200,07/31/2025,07/31/2027,Limited Liability Company,HVAC/RFRG,,"SHERWOOD, LORI A",604282990
GRASSI REFRIGERATION SRVC INC,GRASSRS827PU,ELECTRICAL CONTRACTOR,1445 W ROSE ST,WALLA WALLA,WA,993621645,5095299700,10/31/2018,10/31/2026,Corporation,HVAC/RFRG,,"Ewoniuk, Alex",363007803
GRASSI SERVICES LLC,GRASSSL756QD,ELECTRICAL CONTRACTOR,1445 W ROSE ST,WALLA WALLA,WA,99362,5095299700,11/26/2025,11/26/2027,Limited Liability Company,HVAC/RFRG,,CMBELL CAPITAL,605919361
GRAY WOLF MECHANICAL LLC,GRAYWWM802CM,ELECTRICAL CONTRACTOR,PO BOX 235,RENTON,WA,98057,2064887539,02/14/2020,02/21/2028,Limited Liability Company,HVAC/RFRG,,"BAYRAKTAROGLU, MUSTAFA K",604543588
GREAT SUN CORP,GREATSC951D1,CONSTRUCTION CONTRACTOR,5930 1st Ave S,SEATTLE,WA,98108,2063298027,03/21/2005,04/05/2027,Corporation,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"TA, KEVIN",601984317
GREATER PURPOSE HTNG &CLNG LLC,GREATPH788C4,CONSTRUCTION CONTRACTOR,PO BOX 727,UMATILLA,OR,97882,5415710585,02/23/2022,03/15/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"LOPEZ URENDA, LEROY",604876803
GREEN BEAR SOLUTIONS LLC,GREENBS872M4,CONSTRUCTION CONTRACTOR,27403 SE 164th st,ISSAQUAH,WA,98027,2064193774,07/24/2013,02/26/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"FORNEY, SHAWN GREGORY",603284174
GREEN HVAC LLC,GREENHL769RT,ELECTRICAL CONTRACTOR,PO BOX 28067,BELLINGHAM,WA,98228,3605100370,12/30/2024,12/30/2026,Limited Liability Company,HVAC/RFRG,,"GREEN, RYAN K",605638883
4WINDS,4WIND**8245Z,ELECTRICAL CONTRACTOR,PO BOX 777,EASTON,WA,98925,4258909399,08/15/2018,08/21/2026,Limited Liability Company,HVAC/RFRG,,"Stoneburner, Bart E",604286894
509 DUCTLESS LLC,509DUDL742KM,ELECTRICAL CONTRACTOR,311 S 1st St,SELAH,WA,98942,5096982470,06/02/2026,06/02/2028,Limited Liability Company,HVAC/RFRG,,"PEREZ, LORENA",604891045
509 MECHANICAL LLC,509MEML791KP,CONSTRUCTION CONTRACTOR,9231 state route 24,MOXEE,WA,98936,5099107160,05/17/2021,05/18/2027,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"CORNEJO, JOE MICHAEL",604749651
509ENERGY,509EN**741KK,ELECTRICAL CONTRACTOR,PO BOX 593,LIBERTY LAKE,WA,99019,5095095090,06/02/2026,06/02/2028,Limited Liability Company,HVAC/RFRG,,"Williams, Todd A",605382584
777 HVAC LLC,777HVHL785K7,CONSTRUCTION CONTRACTOR,14121 NE 81ST CIR,VANCOUVER,WA,98682,3609033590,05/27/2022,05/27/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"GONCHARENKO, ALEKSANDR N",604924810
7BLUESKY HEATING & AIR LLP,7BLUEHA766BP,CONSTRUCTION CONTRACTOR,2704 W HENRY ST,PASCO,WA,99301,3608307963,01/17/2024,02/05/2028,Limited Liability Partnership,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"OROZCO, OMAR J",605386057
A & A DRILLING SERVICE INC,AADRISI077QB,CONSTRUCTION CONTRACTOR,P.O. Box 68239,PORTLAND,OR,97268,5036598583,11/02/1993,05/13/2028,Corporation,BOILER/STEAM FIT/PROC PIPING,,"OSTERHOLME, DEREK BJORN",600315263
A & D MECHANICAL,DMECHDM902CD,CONSTRUCTION CONTRACTOR,9726 WATERWORKS RD,MARYSVILLE,WA,98271,4259235923,02/04/2010,04/25/2028,Individual,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"TAYLOR, DOYLE WAYNE JR",601861250
A & E HEATING AND AIR INC,EHEATEH851BZ,ELECTRICAL CONTRACTOR,2149 W CASCADE SUITE 106A-114,HOOD RIVER,OR,97031,5413873311,01/09/2015,01/09/2027,Corporation,HVAC/RFRG-RESTRICTED,,"MERESSE, ANDREW T",603400240
A & M Heating,MHEATMH912R8,ELECTRICAL CONTRACTOR,PO Box 641,PORT ORCHARD,WA,98366,3608958580,11/02/2009,11/02/2027,Individual,HVAC/RFRG,,"DEPEE, DONALD W JR",602961900
A & P HVAC LLC,APHVAL*741K9,CONSTRUCTION CONTRACTOR,7680 CORVALLIS RD,INDEPENDENCE,OR,97351,9713883177,06/01/2026,06/01/2028,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"VARGAS MACILLA, PEDRO",606228559
GREEN MOUNTAIN MECHANICAL LLC,GREENMM842NH,CONSTRUCTION CONTRACTOR,PO BOX 223,SEABECK,WA,98380,3602778526,08/08/2016,08/20/2026,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"Castro, Sara",604010378
GREENFLOW HEATING & COOLING,GREENHC754B2,CONSTRUCTION CONTRACTOR,17307 28TH AVE E,TACOMA,WA,98445,2533708641,02/03/2025,02/03/2027,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"JOSLIN, NATHAN BEDFORD",605664570
GREENLAKE HEATING & COOLING,GREENHC756M2,CONSTRUCTION CONTRACTOR,5131 113th PL NE,MARYSVILLE,WA,98271,4256223358,07/22/2025,07/22/2027,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"BLANCO RODRIGUEZ, JUAN",605636913
GREENSAVERS NW,GREENN*755DC,CONSTRUCTION CONTRACTOR,2921 TALBOT RD S,RENTON,WA,98055,4255917833,03/06/2025,03/06/2027,Individual,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"SCHULTEK, PAUL TODD",603221877
A F GAS INSTALLATION LLC,FGASIFG816RS,CONSTRUCTION CONTRACTOR,13816 NE 11TH ST L11,Bellevue,WA,98005,2532899821,12/10/2019,12/10/2027,Limited Liability Company,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"FEDOTOV, ALEKSANDR",604525688
