BusinessName,LicenseNumber,Address,City,State,Zip,Phone,LicenseEffective,LicenseExpires,Specialty1,Specialty2,Principal,DaysAgo
MINI SPLIT PROS,MINISSP744L4,4408 54TH AVE SW,SEATTLE,WA,98116,8776467758,07/01/2026,07/01/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"VAYANOS, ALKINOOS HECTOR",3
PRINGLES POWER VAC INC,PRINGPV741KR,7505 KOHLER RD,PASCO,WA,99301,5095510905,07/01/2026,07/01/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"GADD, PETER",3
MECHANICAL & RFRG SERV LLC,MECHARS746LB,1420 N Mullan Rd Ste 104,SPOKANE VALLEY,WA,99206,5097435647,06/25/2026,06/25/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"Arceo, Manuel",9
SUMMIT AIR SYSTEMS LLC,SUMMIAS747L5,5729 HIGHWAY PL,EVERETT,WA,98203,4252807900,06/25/2026,06/25/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"KHARSHCHEVSKYI, MYKOLA",9
CB COMFORTS SOLUTIONS LLC,CBCOMCS751J1,8605 PACIFIC AVE S,TACOMA,WA,98444,2537541394,06/24/2026,06/24/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"BROWN, CORY C",10
METHODICAL MECHANICAL LLC,METHOML741LQ,7006 67TH AVE NE,MARYSVILLE,WA,98270,4253678250,06/23/2026,06/23/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"BRUCE, TREVOR TODD",11
BMF MECHANICAL LLC,BMFMEML740L2,12012 SW LAUSANNE ST,WILSONVILLE,OR,97070,5034739640,06/22/2026,06/22/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"UNGEWITTER, STEVEN NOEL",12
CHRONIC CONDITIONING LLC,CHRONCL744LP,6125 N MAYFAIR ST #6,SPOKANE,WA,99207,5092026691,06/17/2026,06/17/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"CHRONIC, RYDER WESLEY",17
DBEST HEATING AND COOLING LLC,DBESTHC741LK,1400 N 30TH ST,MOUNT VERNON,WA,98273,3603753666,06/12/2026,06/12/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"PEREZ DOMINGUEZ, MIGUEL A",22
BARTLETT MECHANICAL LLC,BARTLML744LJ,11637 175TH ST E,PUYALLUP,WA,98374,2533452256,06/11/2026,06/11/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"BARTLETT, BRANDON LEE",23
FITZ MECHANICAL,FITZMM*743LS,908 N LINCOLN ST,POST FALLS,ID,83854,2084497844,06/10/2026,06/10/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"FITZGERALD, JACOB PATRICK",24
CLIMACORE HVAC LLC,CLIMAHL744LZ,8249 STEIN RD,CUSTER,WA,98240,3609275749,06/09/2026,06/09/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"KOLBERT, EDWARD BENJAMIN",25
PEAKLINE MECHANICAL LLC,PEAKLML740LC,406 L ST NE,QUINCY,WA,98848,5094159025,06/03/2026,06/03/2028,Heating/Vent/Air-Conditioning and Refrig (HVAC/R) ,,"FIGUEROA NAVARRO, FAVIAN",31
509 DUCTLESS LLC,509DUDL742KM,311 S 1st St,SELAH,WA,98942,5096982470,06/02/2026,06/02/2028,HVAC/RFRG,,"PEREZ, LORENA",32
509ENERGY,509EN**741KK,PO BOX 593,LIBERTY LAKE,WA,99019,5095095090,06/02/2026,06/02/2028,HVAC/RFRG,,"Williams, Todd A",32
